table_name,dataset_name,evaluation_region,mask_type,category,lama_applicability,metric,row_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,negative_improvement_count,zero_improvement_count,positive_improvement_share
dataset_mask_type_by_region,mask_robustness,content_region,,,,mae_improvement,75,9.640985724528631,6.956629544496536,7.070251413375303,1.8074209690093994,26.521284580230713,75,0,0,1.0
dataset_mask_type_by_region,mask_robustness,masked_region,,,,mae_improvement,75,156.69037364959718,152.86805152893066,35.4210288161745,85.53115463256836,230.52768993377686,75,0,0,1.0
dataset_mask_type_by_region,mask_robustness,boundary_region,,,,mae_improvement,75,74.01192667007446,73.12233853340149,18.259853627013747,39.9480082988739,116.67595982551575,75,0,0,1.0
dataset_mask_type_by_region,mask_robustness,outside_mask_region,,,,mae_improvement,75,0.0,0.0,0.0,0.0,0.0,0,0,75,0.0
dataset_mask_type_by_region,mask_robustness,mask_bbox_crop,,,,mae_improvement,75,30.739477713306744,10.95157390832901,33.63912749323082,2.69302462041378,125.24347591400146,75,0,0,1.0
dataset_mask_type_by_region,synthetic_degradation,full_image,,,,mae_improvement,50,-0.7880599089458701,-0.09486954659223557,1.536104372339782,-6.956502914428711,0.0,0,45,5,0.0
dataset_mask_type_by_region,synthetic_degradation,content_region,,,,mae_improvement,50,-1.0376081953934044,-0.12399690598249435,1.967239623740035,-8.0582275390625,0.0,0,45,5,0.0
dataset_mask_type_by_region,synthetic_degradation,masked_region,,,,mae_improvement,50,-2.1960403862723616,-0.37899577617645264,3.1045434076787575,-10.368043422698975,0.0,0,45,5,0.0
dataset_mask_type_by_region,synthetic_degradation,boundary_region,,,,mae_improvement,50,-0.16969052818138153,0.0,0.279751668466916,-0.9074991345405579,0.0,0,15,35,0.0
dataset_mask_type_by_region,synthetic_degradation,outside_mask_region,,,,mae_improvement,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0
dataset_mask_type_by_region,synthetic_degradation,mask_bbox_crop,,,,mae_improvement,50,-1.5410567705519498,-0.2155923843383789,2.361927355610602,-7.868324279785156,0.0,0,45,5,0.0
dataset_mask_type_by_region,canonical,full_image,loss_large,,,psnr_improvement,50,15.177026158148495,14.77346870075566,4.031655556446362,7.163611659081948,28.17222655640299,50,0,0,1.0
dataset_mask_type_by_region,canonical,content_region,loss_large,,,psnr_improvement,50,15.177026102648314,14.77346860364921,4.031655509615262,7.163613304938281,28.172227152230256,50,0,0,1.0
dataset_mask_type_by_region,canonical,masked_region,loss_large,,,psnr_improvement,50,15.177026355735634,14.773468621301772,4.031655337493559,7.163611858873562,28.172226095182484,50,0,0,1.0
