case_id,dataset_name,painting_id,mask_id,mask_type,evaluation_region,method,source_id,source_relative_path,metric_family,metric_column,metric_name,metric_value_type,metric_direction,metric_value,metric_value_is_numeric,status,issue,restored_path
canonical__p003_scratch_thin,canonical,p003,p003_scratch_thin,scratch_thin,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,23.10572290512855,True,ok,,
canonical__p003_scratch_thin,canonical,p003,p003_scratch_thin,scratch_thin,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p003_zero_control,canonical,p003,p003_zero_control,zero_control,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p003_zero_control,canonical,p003,p003_zero_control,zero_control,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p003_zero_control,canonical,p003,p003_zero_control,zero_control,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p004_loss_large,canonical,p004,p004_loss_large,loss_large,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,29.237932066030297,True,ok,,
canonical__p004_loss_large,canonical,p004,p004_loss_large,loss_large,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,12.34104861111111,True,ok,,
canonical__p004_loss_large,canonical,p004,p004_loss_large,loss_large,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,10.04317107024016,True,ok,,
canonical__p004_loss_large,canonical,p004,p004_loss_large,loss_large,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,55.29143642970928,True,ok,,
canonical__p004_loss_large,canonical,p004,p004_loss_large,loss_large,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,91.99725630273852,True,ok,,
canonical__p004_loss_large,canonical,p004,p004_loss_large,loss_large,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p004_loss_small,canonical,p004,p004_loss_small,loss_small,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,24.18464989272479,True,ok,,
canonical__p004_loss_small,canonical,p004,p004_loss_small,loss_small,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,2.9554805555555554,True,ok,,
