dataset_name,mask_type,prompt_variant_id,compared_pairs,source_cases,mean_delta_output_change_vs_generic,mean_abs_delta_output_change_vs_generic,validation_pass_rate,mean_runtime_seconds
synthetic_degradation,fading_discolouration,p02_artist,5,5,0.127276724356192,0.21940544976128457,1.0,9.479044999997132
synthetic_degradation,fading_discolouration,p03_artist_style_period,5,5,0.1040605333116317,0.19472464102285877,1.0,9.427872840003692
synthetic_degradation,fading_discolouration,p04_full_context,5,5,0.1549546983506945,0.1549546983506945,1.0,9.44204281999846
synthetic_degradation,partial_transparency,p01_style_period,5,5,-0.0004020408347791715,0.35360819498697965,1.0,9.45627405999694
synthetic_degradation,partial_transparency,p02_artist,5,5,0.8119947645399306,0.8119947645399306,1.0,9.471578840000438
synthetic_degradation,partial_transparency,p03_artist_style_period,5,5,0.7340395326967591,0.7340395326967591,1.0,9.495295800000894
synthetic_degradation,partial_transparency,p04_full_context,5,5,0.662085978190104,0.8490929497612847,1.0,9.496930299999075
synthetic_degradation,water_stain,p01_style_period,5,5,-0.03930234555844884,0.06831416377314804,1.0,9.491111819999059
synthetic_degradation,water_stain,p02_artist,5,5,0.2060620343243637,0.2060620343243637,1.0,9.432532860001084
synthetic_degradation,water_stain,p03_artist_style_period,5,5,0.1841606987847225,0.1841606987847225,1.0,9.456049800006442
synthetic_degradation,water_stain,p04_full_context,5,5,0.441211954752604,0.441211954752604,1.0,9.47157435999252
synthetic_degradation,water_stain_dirt,p01_style_period,5,5,-0.1442241527416087,0.14709800437644674,1.0,9.43129633999779
synthetic_degradation,water_stain_dirt,p02_artist,5,5,-0.08370044849537028,0.16760027850115744,1.0,9.455220199999166
synthetic_degradation,water_stain_dirt,p03_artist_style_period,5,5,-0.10506591796875,0.17244104456018516,1.0,9.436146799998824
synthetic_degradation,water_stain_dirt,p04_full_context,5,5,-0.23237180356626158,0.3079195375795717,1.0,9.46330896000145
