summary_section,grouping_columns,summary_mask_type,summary_category,summary_style_or_period,summary_dataset_name,summary_damage_family,case_count,paired_restoration_cases,cases_with_main_local_metrics,lama_majority_cases,opencv_majority_cases,tie_majority_cases,mixed_or_no_vote_cases,needs_visual_review_cases,mixed_metric_winner_cases,family_disagreement_cases,region_disagreement_cases,mean_vote_margin_lama_minus_opencv,median_rank_change_lama_minus_opencv,opencv_runtime_median_seconds,lama_runtime_median_seconds,opencv_runtime_p95_seconds,lama_runtime_p95_seconds,opencv_deterministic_failure_cases,lama_deterministic_failure_cases,opencv_top_failure_patterns,lama_top_failure_patterns
by_category_style_or_period,"summary_category, summary_style_or_period",all,high_texture_brushwork,Impressionism / modern French painting,all,all,5,5,5,4,0,1,0,5,4,2,4,10.4,-2.5,0.414332700020168,1.4609382327775366,0.476920320012141,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,high_texture_brushwork,Impressionist outdoor figure painting,all,all,5,5,5,3,1,1,0,5,4,4,4,4.0,0.0,0.3931588999694213,1.4609382327775366,0.44912490000715477,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,high_texture_brushwork,Modern French painting,all,all,5,5,5,4,0,1,0,5,4,3,4,8.0,0.0,0.3786885000299662,1.4609382327775366,0.4351780400029383,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,high_texture_brushwork,Post-Impressionism,all,all,47,47,47,39,3,4,1,47,43,30,42,7.404255319148936,-1.5,0.4634389000129886,1.4609382327775366,0.6307703600032254,1.4609382327775366,0,3,success_or_not_flagged=47,success_or_not_flagged=44; issue:zero_control_copied_without_model_inference=3
by_category_style_or_period,"summary_category, summary_style_or_period",all,high_texture_brushwork,unknown_style_or_period,all,all,10,10,10,7,1,2,0,10,8,4,8,6.4,-1.0,0.39935994998086244,1.4609382327775366,0.48563370500924063,1.4609382327775366,0,2,success_or_not_flagged=10,success_or_not_flagged=8; issue:zero_control_copied_without_model_inference=2
by_category_style_or_period,"summary_category, summary_style_or_period",all,landscape_natural,unknown_style_or_period,all,all,82,82,82,64,6,10,2,82,72,48,69,7.512195121951219,0.0,0.43815049997647293,1.4609382327775366,0.5300684699701378,1.4609382327775366,0,10,success_or_not_flagged=82,success_or_not_flagged=72; issue:zero_control_copied_without_model_inference=10
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,18th century portraiture,all,all,5,5,5,4,0,1,0,5,4,2,4,8.8,0.0,0.4160513000097126,1.4609382327775366,0.48048429997870695,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,19th century French painting,all,all,5,5,5,4,0,1,0,5,4,3,4,7.2,-8.0,0.3908537999959662,1.4609382327775366,0.48137290000449867,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,19th century portraiture,all,all,5,5,5,4,0,1,0,5,4,1,4,9.6,0.0,0.3840182999847457,1.4609382327775366,0.42224768002051855,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,Baroque,all,all,37,37,37,27,7,1,2,37,36,23,36,6.648648648648648,0.0,0.6130859999684617,1.4609382327775366,0.7309087999979963,1.4609382327775366,0,1,success_or_not_flagged=37,success_or_not_flagged=36; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,Impressionism,all,all,5,5,5,4,0,1,0,5,4,3,4,8.0,-1.0,0.3682114999974146,1.4609382327775366,0.4403020200319588,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,Neoclassical,all,all,5,5,5,3,0,1,1,5,4,2,3,8.0,0.0,0.4607498000259511,1.4609382327775366,0.5973931799875573,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,Neoclassical / early 19th century,all,all,5,5,5,3,1,1,0,5,4,1,4,8.8,1.0,0.5476225999882445,1.4609382327775366,0.6113189199706539,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,Post-Impressionism,all,all,5,5,5,3,1,1,0,5,4,2,4,3.2,3.0,0.3807129000197164,1.4609382327775366,0.38868291998514903,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,Realism / early modern French painting,all,all,5,5,5,4,0,1,0,5,4,1,4,11.2,0.0,0.5113206999958493,1.4609382327775366,0.5861904200166463,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_category_style_or_period,"summary_category, summary_style_or_period",all,portrait_figure,Spanish portraiture,all,all,5,5,5,3,1,1,0,5,4,1,4,7.2,2.0,0.4909882000065408,1.4609382327775366,0.5508000000147149,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
