case_id,painting_id,mask_type,texture_winner_model,texture_winner_distance,texture_winner_glcm_distance,texture_winner_gabor_distance,texture_winner_brushstroke_proxy_distance,category,lama_texture_distance,lama_brushstroke_proxy_distance,opencv_telea_texture_distance,opencv_telea_brushstroke_proxy_distance,stable_diffusion_inpainting_texture_distance,stable_diffusion_inpainting_brushstroke_proxy_distance,texture_margin_best_vs_second,painting_id_refined,mask_type_refined,category_refined,overall_metric_vote,texture_disagrees_with_refined_vote
p023_scratch_thin,p023,scratch_thin,lama,0.002575445473931189,0.0012021336460707988,2.179217758180985e-06,0.0005238821242936122,architecture_structured,0.002575445473931189,0.0005238821242936122,0.008161929001216114,0.0010119553305628151,0.15678617320126995,0.018443936821129877,0.0055864835272849255,p023,scratch_thin,architecture_structured,opencv_telea,True
p004_scratch_thin,p004,scratch_thin,lama,0.006296833667397069,0.0008025882847285104,2.3005999127725704e-06,0.0020037386163933566,portrait_figure,0.006296833667397069,0.0020037386163933566,0.011570009725344383,0.001428434280818643,0.09754455526335011,0.020410241016515323,0.005273176057947314,p004,scratch_thin,portrait_figure,tie_lama_opencv_telea,True
p036_scratch_thin,p036,scratch_thin,lama,0.003068240668188671,0.0013205405488141034,1.2255915879143166e-06,0.0008391771586664232,abstraction_surrealism,0.003068240668188671,0.0008391771586664232,0.005092539667853688,0.0009612338942661056,0.3971622711846887,0.027524390502692342,0.0020242989996650173,p036,scratch_thin,abstraction_surrealism,opencv_telea,True
p022_loss_large,p022,loss_large,lama,0.1894903307896165,0.1832574804785787,0.00026822435183053043,0.010336345243110915,architecture_structured,0.1894903307896165,0.010336345243110915,0.4507327363491751,0.0603711928754849,0.5909585270507413,0.04921714817366485,0.2612424055595586,p022,loss_large,architecture_structured,lama,False
p028_loss_large,p028,loss_large,lama,0.2716323994461143,0.14729539416974846,0.00028293242892109537,0.04480165746906948,architecture_structured,0.2716323994461143,0.04480165746906948,0.4570662992369588,0.07639508363760662,0.5359135736078798,0.12933728177130197,0.18543389979084451,p028,loss_large,architecture_structured,lama,False
p003_loss_large,p003,loss_large,lama,0.2253901237573015,0.1542335546861085,0.00025951126969026353,0.029358268304298222,portrait_figure,0.2253901237573015,0.029358268304298222,0.42375866705206694,0.04838072750991931,0.4056721091111351,0.031823962423931956,0.1802819853538336,p003,loss_large,portrait_figure,lama,False
p037_loss_large,p037,loss_large,stable_diffusion_inpainting,0.0979604537806948,0.0722690205533489,0.0001049513658637026,0.013219630706564636,abstraction_surrealism,0.274000485625326,0.035426994680019704,0.29397871295614375,0.036351120422856174,0.0979604537806948,0.013219630706564636,0.17604003184463118,p037,loss_large,abstraction_surrealism,stable_diffusion_inpainting,False
p050_loss_large,p050,loss_large,lama,0.1503513934549557,0.12851159675005505,0.0001614235459399327,0.017932732425994594,high_texture_brushwork,0.1503513934549557,0.017932732425994594,0.4200999011565409,0.04988180520087393,0.257067604786327,0.058320685835862994,0.1067162113313713,p050,loss_large,high_texture_brushwork,lama,False
p011_loss_large,p011,loss_large,lama,0.025801302243583835,0.011988010149441772,2.8576926023607945e-05,0.004269284326384662,landscape_natural,0.025801302243583835,0.004269284326384662,0.1293671080583982,0.035723662066565874,0.7528656716227683,0.08608717078321387,0.10356580581481438,p011,loss_large,landscape_natural,lama,False
p024_loss_large,p024,loss_large,lama,0.1799496193252789,0.13226718022644704,0.00022750890443001487,0.019271452529007877,architecture_structured,0.1799496193252789,0.019271452529007877,0.28030415267904935,0.036540561300122704,0.3717217451408181,0.03430693706855911,0.10035453335377045,p024,loss_large,architecture_structured,lama,False
p029_mixed_damage,p029,mixed_damage,lama,0.02378687759524355,0.021275763965645386,1.6385711587105873e-05,0.004051682908026009,architecture_structured,0.02378687759524355,0.004051682908026009,0.1219183884496633,0.012297284927208602,0.1269570693133305,0.020505862714134553,0.09813151085441975,p029,mixed_damage,architecture_structured,lama,False
p017_mixed_damage,p017,mixed_damage,lama,0.0628353037223883,0.08042983720922105,6.0793146808411306e-05,0.004965551585412111,landscape_natural,0.0628353037223883,0.004965551585412111,0.15887635517391555,0.012116009007920698,0.3306863231381836,0.03655414812212883,0.09604105145152725,p017,mixed_damage,landscape_natural,lama,False
p017_loss_small,p017,loss_small,lama,0.03482746311445751,0.0415522819311608,3.278164245815299e-05,0.0032828520148884648,landscape_natural,0.03482746311445751,0.0032828520148884648,0.12356867375331515,0.0118195883962091,0.24416566092431802,0.02641633674386631,0.08874121063885765,p017,loss_small,landscape_natural,lama,False
p032_loss_large,p032,loss_large,lama,0.03294616868701009,0.043966963524848385,1.9922662861986075e-05,0.00411590105549131,abstraction_surrealism,0.03294616868701009,0.00411590105549131,0.5705898892068887,0.0392195069956662,0.1170965025396248,0.012257609394980773,0.0841503338526147,p032,loss_large,abstraction_surrealism,lama,False
p023_loss_large,p023,loss_large,lama,0.26012067381704035,0.23230904745940864,0.00033588879460699615,0.021439175632697097,architecture_structured,0.26012067381704035,0.021439175632697097,0.34405302780470914,0.037315859651401294,0.36802858538927913,0.010410782132528046,0.0839323539876688,p023,loss_large,architecture_structured,lama,False
p012_scratch_thin,p012,scratch_thin,lama,0.03445857547540868,0.041627244829236534,3.859452538733687e-05,0.002279773810369638,landscape_natural,0.03445857547540868,0.002279773810369638,0.1180742957422065,0.00539000777168992,0.2154641845984493,0.024565594195741187,0.08361572026679781,p012,scratch_thin,landscape_natural,lama,False
p013_loss_large,p013,loss_large,lama,0.06177020552551815,0.087703468016596,5.5084165863541316e-05,0.00443288172859145,landscape_natural,0.06177020552551815,0.00443288172859145,0.29756390962077617,0.02941153103466457,0.14419471097912276,0.013608983593094525,0.08242450545360461,p013,loss_large,landscape_natural,lama,False
p016_loss_small,p016,loss_small,lama,0.05656412969173552,0.013927307151727353,5.813880023217028e-06,0.0192903275511979,landscape_natural,0.05656412969173552,0.0192903275511979,0.13803643350435157,0.01277444759976717,0.32992985205288816,0.055409877601647915,0.08147230381261605,p016,loss_small,landscape_natural,lama,False
p042_loss_large,p042,loss_large,lama,0.013060744779564204,0.0033882739715678546,3.7553585705285057e-06,0.004078723540650549,high_texture_brushwork,0.013060744779564204,0.004078723540650549,0.08624369293214111,0.029158524626366214,0.361131389349189,0.05489699395245815,0.07318294815257691,p042,loss_large,high_texture_brushwork,lama,False
p032_loss_small,p032,loss_small,lama,0.0027556872478704544,0.002780451360908844,1.8912652528613687e-06,0.00042901162235484445,abstraction_surrealism,0.0027556872478704544,0.00042901162235484445,0.07345920433171281,0.0042509146997988445,0.10518350243936003,0.013375377926444323,0.07070351708384236,p032,loss_small,abstraction_surrealism,lama,False
p012_loss_large,p012,loss_large,lama,0.07574246545667752,0.05645803274847661,7.428898309550624e-05,0.011148210707033403,landscape_natural,0.07574246545667752,0.011148210707033403,0.1458721375012706,0.014322445803735102,0.7403093937984067,0.12945088274008584,0.07012967204459307,p012,loss_large,landscape_natural,lama,False
p005_mixed_damage,p005,mixed_damage,lama,0.03715263538039588,0.033114469697588994,3.0900819418415234e-05,0.0055673605555321345,portrait_figure,0.03715263538039588,0.0055673605555321345,0.10307412907250851,0.00741631046272423,0.3082309248992822,0.021253843956341913,0.06592149369211264,p005,mixed_damage,portrait_figure,lama,False
p009_mixed_damage,p009,mixed_damage,lama,0.05134022917814355,0.05141128189017792,5.5228285371023965e-05,0.00512049918028224,portrait_figure,0.05134022917814355,0.00512049918028224,0.11696811770466559,0.009327930860223882,0.12319882780078972,0.01018035629616813,0.06562788852652204,p009,mixed_damage,portrait_figure,lama,False
p013_mixed_damage,p013,mixed_damage,lama,0.01591231428162542,0.017960640881822053,1.727547491744574e-05,0.0012982005562286632,landscape_natural,0.01591231428162542,0.0012982005562286632,0.07736065176298736,0.0060391953802752555,0.1920214291088874,0.016926147948648492,0.061448337481361935,p013,mixed_damage,landscape_natural,lama,False
p018_loss_large,p018,loss_large,lama,0.09251891447820464,0.04803894624678193,6.708239433190577e-05,0.019821215873929928,landscape_natural,0.09251891447820464,0.019821215873929928,0.238673072655202,0.028473907103965496,0.15351388003721964,0.027824125677373315,0.060994965559015,p018,loss_large,landscape_natural,lama,False
p036_mixed_damage,p036,mixed_damage,lama,0.025832720880597463,0.02678478956284327,2.880042967394606e-05,0.0023084183564625587,abstraction_surrealism,0.025832720880597463,0.0023084183564625587,0.08635079027454462,0.011104820995851533,0.13844779648442948,0.009924324968165352,0.06051806939394716,p036,mixed_damage,abstraction_surrealism,lama,False
p036_loss_small,p036,loss_small,lama,0.0047375424839502115,0.001795293783584298,1.4079852973438882e-06,0.0013985273153459155,abstraction_surrealism,0.0047375424839502115,0.0013985273153459155,0.059200825685590264,0.010578504199144946,0.09265648036035949,0.009541742484662066,0.05446328320164005,p036,loss_small,abstraction_surrealism,lama,False
p027_mixed_damage,p027,mixed_damage,lama,0.0326482786303711,0.022584271664042175,3.4288701441599555e-05,0.004703572899678877,architecture_structured,0.0326482786303711,0.004703572899678877,0.08465406047964695,0.011956357430577408,0.19569748837188958,0.053160944571674085,0.05200578184927585,p027,mixed_damage,architecture_structured,lama,False
p005_loss_small,p005,loss_small,lama,0.008056129886276917,0.0036906991474516446,4.334708594114325e-06,0.002010793847690173,portrait_figure,0.008056129886276917,0.002010793847690173,0.059227270867071226,0.006447544669805561,0.16152934908836888,0.01052062785020299,0.05117114098079431,p005,loss_small,portrait_figure,lama,False
p042_mixed_damage,p042,mixed_damage,lama,0.04162443548721417,0.04150218108826509,4.548468299673906e-05,0.004071540837127235,high_texture_brushwork,0.04162443548721417,0.004071540837127235,0.091608565478235,0.007535331900822689,0.10402088914407119,0.01807490734806325,0.04998412999102082,p042,mixed_damage,high_texture_brushwork,lama,False
p033_loss_small,p033,loss_small,lama,0.028216593107003224,0.037930784190941154,2.2265430668473077e-05,0.002728144834488362,abstraction_surrealism,0.028216593107003224,0.002728144834488362,0.07790783731186034,0.008744568541703196,0.10038094055553877,0.01561885531235959,0.04969124420485711,p033,loss_small,abstraction_surrealism,lama,False
p035_loss_small,p035,loss_small,lama,0.012300866864233068,0.01047222515178092,1.4551466618676048e-05,0.001276002222331419,abstraction_surrealism,0.012300866864233068,0.001276002222331419,0.061272802559204996,0.007939780294658251,0.09122556183518608,0.02163468989999538,0.04897193569497193,p035,loss_small,abstraction_surrealism,lama,False
p020_mixed_damage,p020,mixed_damage,lama,0.030633533013998335,0.018537201440998827,1.8244690718588747e-05,0.0067978934986465305,landscape_natural,0.030633533013998335,0.0067978934986465305,0.07895904712939708,0.00562872370328342,0.1661183335779977,0.027802789359844187,0.048325514115398746,p020,mixed_damage,landscape_natural,lama,False
