dataset_name,category,evaluation_region,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
synthetic,high_texture_brushwork,mask_bbox_crop,10,10,64.5907,220.7824,-156.1916,3.3173,5.2367,-1.9195,41.369,32.7229,-8.6461,0.9894,0.9221,-0.0673,319981.1
synthetic,high_texture_brushwork,masked_region,10,10,86.2338,296.5928,-210.359,4.8113,7.4965,-2.6852,38.6706,30.0245,-8.6461,,,,170387.3
synthetic,high_texture_brushwork,outside_mask_region,10,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,298860.7
synthetic,landscape_natural,boundary_region,10,10,6.705,11.9231,-5.2181,0.5518,0.7595,-0.2078,50.4839,44.96,-4.9715,,,,10808.9
synthetic,landscape_natural,content_region,10,10,52.8444,134.481,-81.6367,2.2198,3.1851,-0.9653,44.9392,34.7032,-10.236,0.9886,0.9526,-0.036,389376.0
synthetic,landscape_natural,full_image,10,10,34.8855,88.7785,-53.893,1.4654,2.1027,-0.6373,46.7427,36.5067,-10.236,0.9924,0.9687,-0.0237,589824.0
synthetic,landscape_natural,mask_bbox_crop,10,10,59.7552,188.1975,-128.4423,2.9639,4.8559,-1.892,42.8141,32.5781,-10.236,0.9858,0.9184,-0.0675,274545.9
synthetic,landscape_natural,masked_region,10,10,76.155,257.9788,-181.8238,4.1128,6.9121,-2.7993,39.7536,29.5176,-10.236,,,,139125.6
synthetic,landscape_natural,outside_mask_region,10,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,250250.4
synthetic,portrait_figure,boundary_region,10,10,8.8885,10.8668,-1.9783,0.562,0.6807,-0.1186,57.3468,49.5795,-6.2139,,,,13458.6
synthetic,portrait_figure,content_region,10,10,141.184,143.8314,-2.6474,4.2072,4.1504,0.0568,44.5329,37.5347,-6.9982,0.9658,0.95,-0.0158,509184.0
synthetic,portrait_figure,full_image,10,10,121.8815,124.167,-2.2855,3.632,3.583,0.049,45.1714,38.1732,-6.9982,0.9704,0.9568,-0.0136,589824.0
synthetic,portrait_figure,mask_bbox_crop,10,10,149.2927,159.5214,-10.2287,5.0997,5.1424,-0.0426,42.7263,35.7282,-6.9982,0.9585,0.9385,-0.02,376442.3
synthetic,portrait_figure,masked_region,10,10,182.2135,211.4871,-29.2735,7.1344,7.4368,-0.3024,39.3896,32.3914,-6.9982,,,,179948.9
synthetic,portrait_figure,outside_mask_region,10,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,329235.1
