case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_clip_improvement,winner_dinov2_improvement
p008_mixed_damage,p008,p008_mixed_damage,mixed_damage,portrait_figure,Manuel Osorio Manrique de Zuñiga,0.1915122866630554,0.2111111879348755,0.1999260783195495,0.2192122340202331,0.1719281077384948,0.1161341667175293,lama,lama
p008_scratch_thin,p008,p008_scratch_thin,scratch_thin,portrait_figure,Manuel Osorio Manrique de Zuñiga,0.0926941633224487,0.2066290974617004,0.0928665399551391,0.2055748105049133,0.0212588310241699,0.0210705399513244,lama,opencv_telea
p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,-0.0661631822586059,-0.2997395396232605,0.1298187375068664,0.0682291388511657,0.1394519209861755,0.1910362839698791,stable_diffusion_inpainting,stable_diffusion_inpainting
p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,0.0428158640861511,0.0749772191047668,0.0444847345352172,0.0797056555747985,0.02266126871109,0.0526787042617797,lama,lama
p009_mixed_damage,p009,p009_mixed_damage,mixed_damage,portrait_figure,Madame Roulin and Her Baby,0.0631695389747619,0.2743676900863647,0.0713950395584106,0.2906454801559448,0.0500679016113281,0.2007525563240051,lama,lama
p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,0.061643362045288,0.0827470421791076,0.061998426914215,0.0825287103652954,0.0310767889022827,-0.0080227851867675,lama,opencv_telea
p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,0.054261028766632,-0.0443043708801269,0.1899043321609497,0.3130960464477539,0.1569653153419494,0.2559692859649658,lama,lama
p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,0.1199399232864379,0.029944896697998,0.1212677955627441,0.0500761270523071,0.0949597954750061,0.001774251461029,lama,lama
p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,0.1795917749404907,0.29959836602211,0.2311964035034179,0.5182558596134186,0.1509695053100586,0.1639707386493683,lama,lama
p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,0.1296925544738769,0.1778187155723571,0.12972491979599,0.1780105829238891,0.0787569880485534,0.0020129084587097,lama,lama
p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,0.0076204538345336,-0.0881258249282836,0.1828902959823608,0.4720101952552795,-0.1398811936378479,0.0464450120925903,lama,lama
p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,0.118793249130249,0.2034507989883422,0.1248303055763244,0.2758698463439941,0.0295231342315673,-0.1343542337417602,lama,lama
p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,0.1029528379440307,0.2918669581413269,0.1123144030570983,0.476615846157074,-0.0448507666587829,-0.1016206741333007,lama,lama
p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,landscape_natural,View of Haarlem and the Haarlemmer Meer,0.0979375839233398,0.2905422449111938,0.0995315313339233,0.2974530458450317,0.0342658162117004,-0.064848780632019,lama,lama
p012_loss_large,p012,p012_loss_large,loss_large,landscape_natural,An Extensive Wooded Landscape,0.0936047434806823,-0.0683585405349731,0.1632806658744812,0.0986194014549255,-0.0445501208305358,-0.4636712968349457,lama,lama
p012_loss_small,p012,p012_loss_small,loss_small,landscape_natural,An Extensive Wooded Landscape,0.151082158088684,0.1221806406974792,0.1523894071578979,0.1315867900848388,0.0562354326248168,0.0373371839523315,lama,lama
p012_mixed_damage,p012,p012_mixed_damage,mixed_damage,landscape_natural,An Extensive Wooded Landscape,0.1163185834884643,0.2504206895828247,0.1619871854782104,0.2928517460823059,0.0527564883232116,-0.1233280897140502,lama,lama
p012_scratch_thin,p012,p012_scratch_thin,scratch_thin,landscape_natural,An Extensive Wooded Landscape,0.148080825805664,0.2217461466789245,0.1500707268714904,0.2155142426490783,0.0660505294799804,-0.0181735157966613,lama,opencv_telea
p013_loss_large,p013,p013_loss_large,loss_large,landscape_natural,Landscape with a Village in the Distance,0.0449237823486328,-0.2141240835189819,0.2229496240615844,0.2755657434463501,0.1628702282905578,0.1804767251014709,lama,lama
p013_loss_small,p013,p013_loss_small,loss_small,landscape_natural,Landscape with a Village in the Distance,0.1621161103248596,0.1191982626914978,0.1633013486862182,0.1530717015266418,0.1456443071365356,0.0209220647811889,lama,lama
p013_mixed_damage,p013,p013_mixed_damage,mixed_damage,landscape_natural,Landscape with a Village in the Distance,0.2335846424102783,0.2634613513946533,0.2745473384857178,0.3793460130691528,0.1836987733840942,0.1426100134849548,lama,lama
p013_scratch_thin,p013,p013_scratch_thin,scratch_thin,landscape_natural,Landscape with a Village in the Distance,0.1088119745254516,0.2849072217941284,0.1093055605888366,0.2882455587387085,0.073251724243164,-0.0679764747619628,lama,lama
p014_loss_large,p014,p014_loss_large,loss_large,landscape_natural,Landscape on a River,-0.0114455223083496,-0.3040172159671783,0.164441168308258,0.3455824255943298,0.1319248676300048,0.2143839597702026,lama,lama
p014_loss_small,p014,p014_loss_small,loss_small,landscape_natural,Landscape on a River,0.1176103949546814,0.3123480081558227,0.1204913854598999,0.3419457674026489,0.0695773363113403,0.2377304434776306,lama,lama
p014_mixed_damage,p014,p014_mixed_damage,mixed_damage,landscape_natural,Landscape on a River,0.1601943373680114,0.4683293104171753,0.1896793842315673,0.6571817398071289,0.0638896822929382,0.2071213722229004,lama,lama
p014_scratch_thin,p014,p014_scratch_thin,scratch_thin,landscape_natural,Landscape on a River,0.140863299369812,0.3726850152015686,0.1347090005874633,0.350375771522522,0.0118151307106018,-0.1291376948356628,opencv_telea,opencv_telea
p015_loss_large,p015,p015_loss_large,loss_large,landscape_natural,Landscape,-0.0467734932899475,-0.1973687410354614,0.1642574071884155,0.3434723615646362,0.0382831096649169,0.1829873919486999,lama,lama
p015_loss_small,p015,p015_loss_small,loss_small,landscape_natural,Landscape,0.0446751713752746,0.0766756534576416,0.0454081296920776,0.0891027450561523,0.0290002226829528,0.0308336019515991,lama,lama
p015_mixed_damage,p015,p015_mixed_damage,mixed_damage,landscape_natural,Landscape,0.0581570863723754,0.143384039402008,0.1509304642677307,0.4216481447219848,0.1151304244995117,0.349903404712677,lama,lama
