case_id,painting_id,category,title,mask_type,mse_improvement,psnr_improvement,ssim_improvement,lpips_improvement,clip_similarity_improvement,dinov2_similarity_improvement,mse_improved,psnr_improved,ssim_improved,lpips_improved,clip_improved,dinov2_improved,num_metrics_improved,num_metrics_not_improved,all_metrics_improved,mixed_metric_outcome,all_metrics_not_improved,report_selection_reason
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",mixed_damage,2743.4324951171875,3.80402587276188,,0.0272449254989624,0.0753332376480102,-0.0408766269683837,True,True,False,True,True,False,4,2,False,True,False,mixed_metric_outcome
p031_scratch_thin,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),scratch_thin,18595.332397460938,11.24604673227149,,0.1264384090900421,0.0165656208992004,0.0226385593414306,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative; highest_number_of_improved_metrics
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,scratch_thin,-136.9814453125,-0.0998615883386389,,-0.0692371129989624,-0.0107872486114501,-0.0238412618637084,False,False,False,False,False,False,0,6,False,False,True,lowest_number_of_improved_metrics
p033_scratch_thin,p033,abstraction_surrealism,Movement,scratch_thin,25384.235107421875,10.373346336638615,,0.0682967752218246,0.0131675004959106,0.0051045417785644,True,True,False,True,True,True,5,1,False,True,False,highest_number_of_improved_metrics
p035_scratch_thin,p035,abstraction_surrealism,The Bewitched Mill,scratch_thin,17707.970825195312,9.922423366247523,,0.0264718681573867,-0.0075127482414245,-0.0291719436645507,True,True,False,True,False,False,3,3,False,True,False,lowest_number_of_improved_metrics; mixed_metric_outcome
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",scratch_thin,-7839.791137695312,-6.902403901106522,,-0.1396718621253967,0.0181103944778442,-0.0856890678405761,False,False,False,False,True,False,1,5,False,True,False,lowest_number_of_improved_metrics; mixed_metric_outcome
p023_loss_large,p023,architecture_structured,Church Interior,loss_large,12824.967041015623,7.521437672070228,,0.2994404435157776,0.0537840127944946,-0.0405088663101196,True,True,False,True,True,False,4,2,False,True,False,lowest_number_of_improved_metrics
p030_loss_large,p030,architecture_structured,Interior with Five Women,loss_large,29672.559326171875,14.051405046001635,,0.2953331470489502,0.1076409220695495,0.0414581298828125,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",loss_small,36293.68701171875,15.3972359027654,,0.1744770556688308,0.1179263591766357,0.0371463298797607,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p030_mixed_damage,p030,architecture_structured,Interior with Five Women,mixed_damage,30886.80450439453,16.855030871908024,,0.2668665498495102,0.1824560761451721,0.1696094870567321,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
