case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_lpips_improvement,lama_lpips_improvement,stable_diffusion_inpainting_lpips_improvement,winner_lpips_improvement
p027_mixed_damage,p027,p027_mixed_damage,mixed_damage,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,0.3988524079322815,0.43560791015625,0.2755132764577865,lama
p027_scratch_thin,p027,p027_scratch_thin,scratch_thin,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,0.3947689251508564,0.3940459431614727,0.2503480017185211,opencv_telea
p028_loss_large,p028,p028_loss_large,loss_large,architecture_structured,Trading posts of the Dutch East India Company (VOC),0.2147155106067657,0.3874417841434479,0.2185256481170654,lama
p028_loss_small,p028,p028_loss_small,loss_small,architecture_structured,Trading posts of the Dutch East India Company (VOC),0.2115145493298769,0.2185981329530477,0.103492870926857,lama
p028_mixed_damage,p028,p028_mixed_damage,mixed_damage,architecture_structured,Trading posts of the Dutch East India Company (VOC),0.27699626237154,0.3014222458004951,0.1676036566495895,lama
p028_scratch_thin,p028,p028_scratch_thin,scratch_thin,architecture_structured,Trading posts of the Dutch East India Company (VOC),0.3229178918991238,0.3223995736334473,0.1928989589214325,opencv_telea
p029_loss_large,p029,p029_loss_large,loss_large,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",0.1275810897350311,0.2894052714109421,0.1943297684192657,lama
p029_loss_small,p029,p029_loss_small,loss_small,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",0.1489727385342121,0.1753311911597848,0.0809021294116973,lama
p029_mixed_damage,p029,p029_mixed_damage,mixed_damage,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",0.2294890433549881,0.26709920540452,0.139661967754364,lama
p029_scratch_thin,p029,p029_scratch_thin,scratch_thin,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",0.2460128185339272,0.2455362814944237,0.1489317193627357,opencv_telea
p030_loss_large,p030,p030_loss_large,loss_large,architecture_structured,Interior with Five Women,0.1774259507656097,0.3114605993032455,0.2953331470489502,lama
p030_loss_small,p030,p030_loss_small,loss_small,architecture_structured,Interior with Five Women,0.1234406307339668,0.1353442203253507,0.0831656455993652,lama
p030_mixed_damage,p030,p030_mixed_damage,mixed_damage,architecture_structured,Interior with Five Women,0.3080702908337116,0.3242066912353039,0.2668665498495102,lama
p030_scratch_thin,p030,p030_scratch_thin,scratch_thin,architecture_structured,Interior with Five Women,0.345065982255619,0.3439278446603566,0.1607543230056762,opencv_telea
p031_loss_large,p031,p031_loss_large,loss_large,abstraction_surrealism,Improvisation No. 30 (Cannons),0.1129006445407867,0.183960348367691,0.1551523804664611,lama
p031_loss_small,p031,p031_loss_small,loss_small,abstraction_surrealism,Improvisation No. 30 (Cannons),0.0724778193980455,0.0833474975079298,0.0372164100408554,lama
p031_mixed_damage,p031,p031_mixed_damage,mixed_damage,abstraction_surrealism,Improvisation No. 30 (Cannons),0.1742813140153885,0.1942980363965034,0.1159544736146926,lama
p031_scratch_thin,p031,p031_scratch_thin,scratch_thin,abstraction_surrealism,Improvisation No. 30 (Cannons),0.2012155487318523,0.2013916558935307,0.1264384090900421,lama
p032_loss_large,p032,p032_loss_large,loss_large,abstraction_surrealism,Composition (No. 1) Gray-Red,0.0719228088855743,0.2466938002035021,0.2684201505035162,stable_diffusion_inpainting
p032_loss_small,p032,p032_loss_small,loss_small,abstraction_surrealism,Composition (No. 1) Gray-Red,0.0901581794023513,0.1312568045104853,0.1133538065478205,lama
p032_mixed_damage,p032,p032_mixed_damage,mixed_damage,abstraction_surrealism,Composition (No. 1) Gray-Red,0.1819466277956962,0.2095747822895646,0.0364083796739578,lama
p032_scratch_thin,p032,p032_scratch_thin,scratch_thin,abstraction_surrealism,Composition (No. 1) Gray-Red,0.1657966878265142,0.1719016930437646,-0.0692371129989624,lama
p033_loss_large,p033,p033_loss_large,loss_large,abstraction_surrealism,Movement,0.084218144416809,0.1449424028396606,0.1674416065216064,stable_diffusion_inpainting
p033_loss_small,p033,p033_loss_small,loss_small,abstraction_surrealism,Movement,0.0795516893267631,0.1005353508517146,0.0523375198245048,lama
p033_mixed_damage,p033,p033_mixed_damage,mixed_damage,abstraction_surrealism,Movement,0.1404244229197502,0.1577677428722381,0.1263585947453975,lama
p033_scratch_thin,p033,p033_scratch_thin,scratch_thin,abstraction_surrealism,Movement,0.1223957134061493,0.122592720988905,0.0682967752218246,lama
p034_loss_large,p034,p034_loss_large,loss_large,abstraction_surrealism,Painting with Green Center,0.1418503522872924,0.1646144390106201,0.1254641413688659,lama
p034_loss_small,p034,p034_loss_small,loss_small,abstraction_surrealism,Painting with Green Center,0.076949767768383,0.0798747930675745,0.0457362905144691,lama
p034_mixed_damage,p034,p034_mixed_damage,mixed_damage,abstraction_surrealism,Painting with Green Center,0.1426736451685428,0.1546676028519868,0.1053667888045311,lama
p034_scratch_thin,p034,p034_scratch_thin,scratch_thin,abstraction_surrealism,Painting with Green Center,0.1731500588357448,0.1738625754369422,0.1065772473812103,lama
p035_loss_large,p035,p035_loss_large,loss_large,abstraction_surrealism,The Bewitched Mill,0.0719987750053405,0.1552884876728058,0.1037282943725586,lama
