original_case_id,case_id,painting_id,category,mask_type,title,final_visual_source,final_visual_reason,final_figure_path,overall_metric_vote,masked_std_mean,refined_overall_metric_vote,combined_uncertainty_index,mean_pairwise_lpips,mean_dinov2_uncertainty_distance,refined_stable_diffusion_metric_wins,uncertainty_performance_quadrant,final_figure_exists
p009_scratch_thin,p009_scratch_thin,p009,portrait_figure,scratch_thin,Madame Roulin and Her Baby,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p009_scratch_thin.png,,0.0533835813403129,,,,,,,True
p031_loss_large,p031_loss_large,p031,abstraction_surrealism,loss_large,Improvisation No. 30 (Cannons),stable_diffusion_uncertainty,highest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p031_loss_large.png,,0.1087352633476257,,,,,,,True
p037_loss_large,p037_loss_large,p037,abstraction_surrealism,loss_large,In the Sea,stable_diffusion_uncertainty,highest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_loss_large.png,,0.0986279100179672,,,,,,,True
p037_loss_small,p037_loss_small,p037,abstraction_surrealism,loss_small,In the Sea,stable_diffusion_uncertainty,highest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_loss_small.png,,0.0875755921006202,,,,,,,True
p037_mixed_damage,p037_mixed_damage,p037,abstraction_surrealism,mixed_damage,In the Sea,stable_diffusion_uncertainty,highest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_mixed_damage.png,,0.0873596742749214,,,,,,,True
p011_loss_large,p011_loss_large,p011,landscape_natural,loss_large,View of Haarlem and the Haarlemmer Meer,stable_diffusion_uncertainty,highest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_loss_large.png,,0.1499835401773452,,,,,,,True
p018_loss_large,p018_loss_large,p018,landscape_natural,loss_large,Classical Landscape with Figures,stable_diffusion_uncertainty,highest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p018_loss_large.png,,0.0884078592061996,,,,,,,True
p011_mixed_damage,p011_mixed_damage,p011,landscape_natural,mixed_damage,View of Haarlem and the Haarlemmer Meer,stable_diffusion_uncertainty,highest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_mixed_damage.png,,0.0970265045762062,,,,,,,True
p009_loss_large,p009_loss_large,p009,portrait_figure,loss_large,Madame Roulin and Her Baby,stable_diffusion_uncertainty,highest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p009_loss_large.png,,0.1475362777709961,,,,,,,True
p021_loss_small,p021_loss_small,p021,architecture_structured,loss_small,Interior of the Oude Kerk in Delft,stable_diffusion_uncertainty,lowest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p021_loss_small.png,,0.0453743040561676,,,,,,,True
p021_scratch_thin,p021_scratch_thin,p021,architecture_structured,scratch_thin,Interior of the Oude Kerk in Delft,stable_diffusion_uncertainty,lowest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p021_scratch_thin.png,,0.0413382835686206,,,,,,,True
p026_scratch_thin,p026_scratch_thin,p026,architecture_structured,scratch_thin,View of a Village along a River,stable_diffusion_uncertainty,lowest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_scratch_thin.png,,0.0438420698046684,,,,,,,True
p041_scratch_thin,p041_scratch_thin,p041,high_texture_brushwork,scratch_thin,Wheat Field with Cypresses,stable_diffusion_uncertainty,lowest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p041_scratch_thin.png,,0.0428085997700691,,,,,,,True
p043_scratch_thin,p043_scratch_thin,p043,high_texture_brushwork,scratch_thin,The Card Players,stable_diffusion_uncertainty,lowest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_scratch_thin.png,,0.0444263406097888,,,,,,,True
p011_scratch_thin,p011_scratch_thin,p011,landscape_natural,scratch_thin,View of Haarlem and the Haarlemmer Meer,stable_diffusion_uncertainty,lowest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_scratch_thin.png,,0.0361536145210266,,,,,,,True
p010_loss_small,p010_loss_small,p010,portrait_figure,loss_small,Joan of Arc,stable_diffusion_uncertainty,lowest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p010_loss_small.png,,0.0353966951370239,,,,,,,True
p010_mixed_damage,p010_mixed_damage,p010,portrait_figure,mixed_damage,Joan of Arc,stable_diffusion_uncertainty,lowest_masked_uncertainty,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p010_mixed_damage.png,,0.0463616624474525,,,,,,,True
p037_loss_large,p037_loss_large,p037,abstraction_surrealism,loss_large,In the Sea,uncertainty_trustworthiness_quadrant,high_uncertainty_high_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_loss_large.png,,0.0986279100179672,stable_diffusion_inpainting,0.4290620717541782,0.264517975350221,0.1314655443032582,4.0,high_uncertainty_high_reference_performance,True
p043_loss_large,p043_loss_large,p043,high_texture_brushwork,loss_large,The Card Players,uncertainty_trustworthiness_quadrant,high_uncertainty_high_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_loss_large.png,,0.0848045349121093,lama,0.4116464237619671,0.3016952176888783,0.134131650129954,2.0,high_uncertainty_high_reference_performance,True
p018_loss_large,p018_loss_large,p018,landscape_natural,loss_large,Classical Landscape with Figures,uncertainty_trustworthiness_quadrant,high_uncertainty_high_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p018_loss_large.png,,0.0884078592061996,lama,0.5287961206693911,0.2883592595656712,0.3888624260822932,1.0,high_uncertainty_high_reference_performance,True
