case_id,painting_id,category,title,mask_type,mse_improvement,psnr_improvement,ssim_improvement,lpips_improvement,clip_similarity_improvement,dinov2_similarity_improvement,mse_improved,psnr_improved,ssim_improved,lpips_improved,clip_improved,dinov2_improved,num_metrics_improved,num_metrics_not_improved,all_metrics_improved,mixed_metric_outcome,all_metrics_not_improved
p029_scratch_thin,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",scratch_thin,19539.60791015625,12.80104363935972,,0.1489317193627357,0.0702811479568481,-0.004509687423706,True,True,False,True,True,False,4,2,False,True,False
p030_loss_large,p030,architecture_structured,Interior with Five Women,loss_large,29672.559326171875,14.051405046001635,,0.2953331470489502,0.1076409220695495,0.0414581298828125,True,True,False,True,True,True,5,1,False,True,False
p030_loss_small,p030,architecture_structured,Interior with Five Women,loss_small,30482.889404296875,14.291999492299093,,0.0831656455993652,0.0996517539024353,-0.0052603483200073,True,True,False,True,True,False,4,2,False,True,False
p030_mixed_damage,p030,architecture_structured,Interior with Five Women,mixed_damage,30886.80450439453,16.855030871908024,,0.2668665498495102,0.1824560761451721,0.1696094870567321,True,True,False,True,True,True,5,1,False,True,False
p030_scratch_thin,p030,architecture_structured,Interior with Five Women,scratch_thin,31956.5302734375,9.95130455564582,,0.1607543230056762,0.0720787048339843,-0.0077072381973266,True,True,False,True,True,False,4,2,False,True,False
p031_loss_large,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),loss_large,15065.325927734377,8.255180764984829,,0.1551523804664611,0.1481353044509887,0.0635701417922973,True,True,False,True,True,True,5,1,False,True,False
p031_loss_small,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),loss_small,17307.213989257812,10.831684929484013,,0.0372164100408554,0.0327880382537841,0.0023928880691528,True,True,False,True,True,True,5,1,False,True,False
p031_mixed_damage,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),mixed_damage,16620.9189453125,11.136058567816614,,0.1159544736146926,0.031994879245758,0.0817086696624755,True,True,False,True,True,True,5,1,False,True,False
p031_scratch_thin,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),scratch_thin,18595.332397460938,11.24604673227149,,0.1264384090900421,0.0165656208992004,0.0226385593414306,True,True,False,True,True,True,5,1,False,True,False
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,loss_large,7215.788330078125,17.233556078516614,,0.2684201505035162,0.0554040074348449,0.1762329936027526,True,True,False,True,True,True,5,1,False,True,False
