case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement
p009_scratch_thin,p009,portrait_figure,Madame Roulin and Her Baby,scratch_thin,21377.748962402344,842.8877563476562,113.04047393798828,14.209867538352285,0.1729621440172195,0.004283879417926,0.1686782645992934,0.9370008707046509,0.998644232749939,0.061643362045288086,0.9169396162033081,0.9996866583824158,0.08274704217910767
p010_loss_large,p010,portrait_figure,Joan of Arc,loss_large,38123.13516235352,446.9234313964844,178.7146463394165,19.3601717408502,0.5043120980262756,0.3046157360076904,0.1996963620185852,0.7887466549873352,0.8430076837539673,0.05426102876663208,0.6321842670440674,0.5878798961639404,-0.04430437088012695
p010_loss_small,p010,portrait_figure,Joan of Arc,loss_small,43292.633392333984,290.3744201660156,195.7843599319458,21.76358843504289,0.2532385885715484,0.0170476920902729,0.2361908964812755,0.8779041767120361,0.9978440999984741,0.11993992328643799,0.9487009048461914,0.9786458015441895,0.029944896697998047
p010_mixed_damage,p010,portrait_figure,Joan of Arc,mixed_damage,39740.788146972656,554.0282592773438,184.7529830932617,18.617172640340787,0.496726781129837,0.0557911805808544,0.4409356005489826,0.762116551399231,0.9417083263397217,0.17959177494049072,0.462197870016098,0.761796236038208,0.29959836602211
p010_scratch_thin,p010,portrait_figure,Joan of Arc,scratch_thin,42821.99607086182,111.5390853881836,198.0924367904663,25.853695708608832,0.3639232516288757,0.0018421905115246,0.362081061117351,0.8697965145111084,0.9994890689849854,0.12969255447387695,0.8214116096496582,0.9992303252220154,0.17781871557235718
p011_loss_large,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,loss_large,18997.17807006836,287.2887268066406,125.70010566711426,18.26889050769048,0.6593158841133118,0.3002504110336303,0.3590654730796814,0.8100756406784058,0.8176960945129395,0.007620453834533691,0.48841607570648193,0.40029025077819824,-0.08812582492828369
p011_loss_small,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,loss_small,22529.74755859375,188.71728515625,140.20289421081543,20.805673011609088,0.2857575416564941,0.0156558044254779,0.2701017372310161,0.8731545805931091,0.9919478297233582,0.11879324913024902,0.7218886613845825,0.9253394603729248,0.20345079898834229
p011_mixed_damage,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,mixed_damage,23493.206909179688,392.9786376953125,139.7178611755371,17.837778587773634,0.3453073501586914,0.0487755388021469,0.2965318113565445,0.8860111832618713,0.9889640212059021,0.10295283794403076,0.5117112398147583,0.8035781979560852,0.2918669581413269
p011_scratch_thin,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,scratch_thin,27325.09875488281,553.9500732421875,150.36268615722656,17.01807328377252,0.3415066003799438,0.0066829989664256,0.3348236014135182,0.9002214670181274,0.9981590509414673,0.09793758392333984,0.6992626190185547,0.9898048639297485,0.29054224491119385
p012_loss_large,p012,landscape_natural,An Extensive Wooded Landscape,loss_large,13518.080932617188,969.0421142578124,93.34084129333496,11.746394970716516,0.423293262720108,0.2415203899145126,0.1817728728055954,0.8282598853111267,0.9218646287918091,0.09360474348068237,0.8628895282745361,0.794530987739563,-0.06835854053497314
