case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,opencv_telea_lpips_improvement,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,lama_lpips_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,opencv_telea_metric_wins,lama_metric_wins,stable_diffusion_inpainting_metric_wins,metric_ties,overall_metric_vote,mixed_metric_outcome,all_metrics_same_winner,opencv_telea_all_metrics_win,lama_all_metrics_win,stable_diffusion_inpainting_all_metrics_win,num_unique_metric_winners,max_model_metric_wins,disagreement_strength
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,portrait_figure,Madame X (Madame Pierre Gautreau),50114.38048553467,28.59980972725987,0.075618480359718,0.2840117247542366,0.1097153425216674,0.1251502037048339,50163.59069824219,33.98111193330545,0.0766943969684104,0.2852567431982606,0.1096439361572265,0.1252999901771545,46487.78466796875,11.328454270204762,-0.0776454314491459,0.121918112039566,0.0437761545181274,-0.0119901299476623,lama,lama,lama,lama,opencv_telea,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p004_loss_small,p004,p004_loss_small,loss_small,portrait_figure,Madame Georges Charpentier and Her Children,27384.215911865234,17.432853632394036,0.0506291828882591,0.1195256486535072,0.0458605289459228,0.010292649269104,27496.817810058597,18.53183702678494,0.0474045175455378,0.1252485485747456,0.0467602610588073,0.0187365412712097,26787.91357421875,14.040409308125682,-0.3044505560367444,0.0728057622909545,0.0267199873924255,-0.0391765832901001,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,portrait_figure,Madame Georges Charpentier and Her Children,31829.676696777344,17.067575932353115,0.0767116159261339,0.2629296705126762,0.1020262241363525,0.1162043809890747,32115.74951171875,19.652356087644552,0.0762503340099768,0.2828941158950329,0.1116778254508972,0.158011257648468,31158.90295410156,13.946485123434416,-0.2580561770187253,0.201812282204628,0.0872054696083068,0.0648757815361023,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,portrait_figure,Madame Georges Charpentier and Her Children,32575.33320617676,23.52255144631537,0.0488125438864972,0.2376733038108796,0.103688895702362,0.1556568741798401,32578.40739440918,23.61535806220705,0.048163485070287,0.2387948483228683,0.103634238243103,0.1548500657081604,31850.838012695312,15.753555275591284,-0.3104560162274097,0.1790601760149002,0.0895023345947265,0.0757519006729126,lama,lama,opencv_telea,lama,opencv_telea,opencv_telea,3,3,0,0,tie_lama_opencv_telea,True,False,False,False,False,2,3,2
p005_loss_large,p005,p005_loss_large,loss_large,portrait_figure,Self-Portrait with Two Pupils,35037.200439453125,14.37125370282389,0.1588745769932105,0.1593762636184692,0.0355778932571411,0.039504051208496,34549.271240234375,13.01327381494895,0.1661976253737132,0.2661608457565307,0.1002587676048278,0.1052160263061523,34622.197509765625,13.19116743432456,-0.02688226849082,0.2590415775775909,0.0503495335578918,0.0178481340408325,opencv_telea,opencv_telea,lama,lama,lama,lama,2,4,0,0,lama,True,False,False,False,False,2,4,2
p007_loss_large,p007,p007_loss_large,loss_large,portrait_figure,Princesse de Broglie,28616.42529296875,12.97945453845283,0.1725061601241416,0.2660217881202698,0.0284808278083801,0.021985650062561,29367.071228027344,15.943782882389293,0.2069406348846509,0.3687368482351303,0.1158956885337829,0.178906500339508,28620.2158203125,12.990306090407833,0.0103428025309034,0.3342435359954834,0.1530967950820922,0.1407266855239868,lama,lama,lama,lama,stable_diffusion_inpainting,lama,0,5,1,0,lama,True,False,False,False,False,2,5,2
p007_scratch_thin,p007,p007_scratch_thin,scratch_thin,portrait_figure,Princesse de Broglie,36727.08415222168,23.41865771248851,0.0656933876522876,0.3206091322936117,0.1504017114639282,0.0904030799865722,36750.94657897949,24.08443938196526,0.0650381919741874,0.3219847255386412,0.1501604914665222,0.0904164314270019,33821.682373046875,10.793600678301978,-0.2015082027273788,0.1989440247416496,0.1057859659194946,0.0440046787261962,lama,lama,opencv_telea,lama,opencv_telea,lama,2,4,0,0,lama,True,False,False,False,False,2,4,2
p008_scratch_thin,p008,p008_scratch_thin,scratch_thin,portrait_figure,Manuel Osorio Manrique de Zuñiga,39434.62716674805,21.76696620988519,0.0655626663218841,0.3107778206467628,0.0926941633224487,0.2066290974617004,39466.96548461914,22.333723707547037,0.0649833669076715,0.3120766319334507,0.0928665399551391,0.2055748105049133,36312.1494140625,10.689926928444844,-0.1095605557100195,0.1598789691925048,0.0212588310241699,0.0210705399513244,lama,lama,opencv_telea,lama,lama,opencv_telea,2,4,0,0,lama,True,False,False,False,False,2,4,2
p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,24999.46655273437,16.472411525401853,0.0313865709266346,0.1417964277788996,0.0428158640861511,0.0749772191047668,25114.49530029297,17.439471695414323,0.0277022905378945,0.1466052611358463,0.0444847345352172,0.0797056555747985,24339.73803710937,13.158272568264312,-0.4252825595428791,0.0737662240862846,0.02266126871109,0.0526787042617797,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p009_mixed_damage,p009,p009_mixed_damage,mixed_damage,portrait_figure,Madame Roulin and Her Baby,26953.66357421875,14.724298081828175,0.0657711645843099,0.2058141492307186,0.0631695389747619,0.2743676900863647,27082.09704589844,15.362410535575329,0.0578763334125113,0.2233114372938871,0.0713950395584106,0.2906454801559448,25780.467529296875,11.205875655599698,-0.3869910280611229,0.1466403007507324,0.0500679016113281,0.2007525563240051,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
