case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p019_mixed_damage,p019,landscape_natural,Evening: Landscape with an Aqueduct,p019_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p019_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p019_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,41705,14.517032623291016,9.020441055297852,5.496590614318848,255.0,234.0,-214.3333282470703,255.0,205.31094360351562,26.26544189453125,179.04551696777344,981,40718,6,2.352235942932502,97.63337729289054,ok,
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p020_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p020_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,54098,5.755861282348633,9.473435401916504,-3.7175722122192383,205.0,163.6666717529297,-143.6666717529297,196.66665649414062,62.75547790527344,19.879304885864258,42.87616729736328,4296,49763,39,7.941143850049909,91.98676476024991,ok,
p013_scratch_thin,p013,landscape_natural,Landscape with a Village in the Distance,p013_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p013_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p013_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,7041,2.322537899017334,6.573522090911865,-4.250984191894531,255.0,246.6666717529297,-143.0,255.0,194.55882263183594,31.22927474975586,163.32952880859375,15,7026,0,0.21303792074989347,99.7869620792501,ok,
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p016_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p016_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,5937,0.8965669274330139,10.622909545898438,-9.72634220123291,197.6666717529297,151.3333282470703,-143.6666717529297,186.3333282470703,89.07136535644531,45.06097412109375,44.01038360595703,1709,4222,6,28.785581943742635,71.11335691426646,ok,
p020_scratch_thin,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p020_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p020_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,11485,1.6261484622955322,9.247437477111816,-7.621286392211914,207.0,168.0,-139.3333282470703,203.0,83.51251983642578,48.52529525756836,34.98722839355469,3857,7609,19,33.582934262080975,66.25163256421419,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,,p001_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p001_loss_large_stable_diffusion_inpainting_error_maps.png,589824,67242,25.058496475219727,6.236043453216553,18.822450637817383,251.0,159.0,-140.6666717529297,246.3333282470703,219.80459594726562,19.113929748535156,200.690673828125,268,66974,0,0.3985604235448083,99.60143957645519,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,,p002_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p002_loss_large_stable_diffusion_inpainting_error_maps.png,589824,49705,19.01308822631836,5.4717559814453125,13.541332244873047,255.0,141.6666717529297,-141.6666717529297,255.0,225.61866760253906,17.72877311706543,207.88990783691406,0,49705,0,0.0,100.0,ok,
p006_loss_large,p006,portrait_figure,Boy with a Sword,p006_loss_large,loss_large,stable_diffusion_inpainting,,p006_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p006_loss_large_stable_diffusion_inpainting_error_maps.png,589824,51891,20.052406311035156,7.752298355102539,12.3001070022583,253.6666717529297,192.0,-95.0,250.3333282470703,227.92758178710938,43.406089782714844,184.521484375,0,51891,0,0.0,100.0,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,,p001_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p001_loss_small_stable_diffusion_inpainting_error_maps.png,589824,24198,8.864421844482422,3.9404232501983643,4.923999309539795,247.0,150.3333282470703,-150.3333282470703,243.0,216.06947326660156,5.205071926116943,210.86436462402344,0,24198,0,0.0,100.0,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,stable_diffusion_inpainting,,p002_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p002_loss_small_stable_diffusion_inpainting_error_maps.png,589824,19520,7.000389099121094,4.696593284606934,2.303797721862793,255.0,145.0,-145.0,254.6666717529297,211.52650451660156,7.3794403076171875,204.14707946777344,0,19520,0,0.0,100.0,ok,
