original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,seed_a,seed_b,seed_pair,lpips_net,lpips_target_size,bbox_margin,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,pairwise_lpips_distance
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,alex,256,16,24,165,710,617,686,452,0.16149714589118958
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,alex,256,16,24,165,710,617,686,452,0.1268601268529892
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,alex,256,16,24,165,710,617,686,452,0.13674449920654297
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,alex,256,16,0,104,768,664,768,560,0.15951471030712128
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,alex,256,16,0,104,768,664,768,560,0.16450032591819763
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,alex,256,16,0,104,768,664,768,560,0.14072082936763763
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,alex,256,16,0,104,768,664,768,560,0.13902440667152405
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,alex,256,16,0,104,768,664,768,560,0.14818164706230164
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,alex,256,16,0,104,768,664,768,560,0.15863075852394104
p011_scratch_thin,p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,alex,256,16,0,104,768,664,768,560,0.02690407633781433
