dataset_name,case_id,painting_id,mask_id,mask_type,category,model_name,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,improvement_std_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked
canonical,p024_loss_large,p024,,,architecture_structured,opencv_telea,589824,57578,15.554851531982422,3.5378241539001465,12.01702880859375,245.6666717529297,161.3333282470703,-30.333335876464844,235.3333282470703,159.34255981445312,36.24116516113281,123.10137176513672,45.33001708984375,250,57321,7,0.434193615617076,99.55364896314565
canonical,p024_loss_small,p024,,,architecture_structured,opencv_telea,589824,20530,7.044208526611328,0.385139137506485,6.659070014953613,247.3333282470703,111.0,0.0,240.6666717529297,202.3790740966797,11.064992904663086,191.31410217285156,33.59133529663086,0,20530,0,0.0,100.0
canonical,p024_mixed_damage,p024,,,architecture_structured,opencv_telea,589824,37292,12.130989074707031,0.9494584202766418,11.18152904510498,253.6666717529297,152.6666717529297,-51.999996185302734,244.0,191.86819458007812,15.016982078552246,176.8511962890625,48.89710235595703,12,37280,0,0.032178483320819476,99.96782151667918
canonical,p024_scratch_thin,p024,,,architecture_structured,opencv_telea,589824,6922,2.2339115142822266,0.06234005466103554,2.1715714931488037,253.0,109.33333587646484,-20.0,240.0,190.3517303466797,5.312000751495361,185.03973388671875,37.733787536621094,2,6920,0,0.02889338341519792,99.9711066165848
canonical,p024_zero_control,p024,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p025_loss_large,p025,,,architecture_structured,opencv_telea,589824,60302,16.32431983947754,2.2638487815856934,14.060473442077637,237.0,141.0,-43.666664123535156,229.3333282470703,159.67092895507812,22.143085479736328,137.52783203125,55.946189880371094,28,60274,0,0.046432954130874594,99.95356704586912
canonical,p025_loss_small,p025,,,architecture_structured,opencv_telea,589824,15212,3.455904960632324,0.34800609946250916,3.1078994274139404,235.0,117.66666412353516,-38.0,229.6666717529297,133.99790954589844,13.493449211120605,120.50445556640625,59.59501647949219,237,14973,2,1.557980541677623,98.42887194320274
canonical,p025_mixed_damage,p025,,,architecture_structured,opencv_telea,589824,44548,8.369362831115723,1.5814875364303589,6.787874221801758,252.3333282470703,167.0,-100.33333587646484,247.0,110.81194305419922,20.93919563293457,89.87274932861328,47.210933685302734,1357,43185,6,3.046152464757116,96.9403789171231
canonical,p025_scratch_thin,p025,,,architecture_structured,opencv_telea,589824,14613,3.134343147277832,0.21793507039546967,2.916407823562622,252.0,131.0,-26.666667938232422,246.66665649414062,126.51136779785156,8.79650592803955,117.71485900878906,52.09550857543945,4,14609,0,0.027372887155272703,99.97262711284473
canonical,p025_zero_control,p025,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
