case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue,distance_from_median_lpips_improvement,selection_reason,clean_path,damaged_path,restored_path,mask_path,visual_figure_path
p027_scratch_thin,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,9175,1.9878,1.5555,0.39669567346572876,0.14634767174720764,0.2503480017185211,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p027_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p027_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p027_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p027_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p027_scratch_thin_stable_diffusion_lpips.png
p030_scratch_thin,p030,architecture_structured,Interior with Five Women,p030_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,564001,15,8,766,759,11225,2.8942,1.9031,0.34832891821861267,0.1875745952129364,0.16075432300567627,alex,256,cuda,ok,,0.0009225085377693176,median_representative_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p030_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p030_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p030_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p030_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p030_scratch_thin_stable_diffusion_lpips.png
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,94249,300,219,607,526,51958,11.6243,8.8091,0.7467003464698792,0.4490070939064026,0.29769325256347656,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p050_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p050_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p050_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p050_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p050_loss_large_stable_diffusion_lpips.png
p044_loss_small,p044,high_texture_brushwork,Versailles,p044_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,316969,89,147,652,710,21050,4.276,3.5689,0.31209495663642883,0.11794689297676086,0.19414806365966797,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p044_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p044_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p044_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p044_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p044_loss_small_stable_diffusion_lpips.png
p042_mixed_damage,p042,high_texture_brushwork,View of Beirut,p042_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,364816,164,82,768,686,39707,10.466,6.732,0.3522990643978119,0.18806059658527374,0.16423846781253815,alex,256,cuda,ok,,0.00256163626909256,median_representative_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p042_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p042_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p042_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p042_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p042_mixed_damage_stable_diffusion_lpips.png
p050_mixed_damage,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,532900,0,0,730,730,39368,8.8076,6.6745,0.45513466000556946,0.19915220141410828,0.2559824585914612,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p050_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p050_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p050_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p050_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p050_mixed_damage_stable_diffusion_lpips.png
p048_scratch_thin,p048,high_texture_brushwork,A Farm in Brittany,p048_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,431649,0,55,657,712,9067,1.9259,1.5372,0.3183261752128601,0.08289765566587448,0.23542851954698563,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p048_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p048_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p048_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p048_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p048_scratch_thin_stable_diffusion_lpips.png
p014_loss_large,p014,landscape_natural,Landscape on a River,p014_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,108900,112,265,442,595,57683,17.2662,9.7797,0.683463990688324,0.34699565172195435,0.33646833896636963,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p014_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p014_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p014_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p014_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p014_loss_large_stable_diffusion_lpips.png
p011_loss_small,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,448900,32,56,702,726,24080,5.9383,4.0826,0.30803683400154114,0.17427445948123932,0.13376237452030182,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p011_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p011_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p011_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p011_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p011_loss_small_stable_diffusion_lpips.png
p014_mixed_damage,p014,landscape_natural,Landscape on a River,p014_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,492804,0,32,702,734,45810,13.7123,7.7667,0.4545938968658447,0.2156210094690323,0.23897288739681244,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p014_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p014_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p014_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p014_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p014_mixed_damage_stable_diffusion_lpips.png
