case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement
p022_scratch_thin,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",scratch_thin,32728.567794799805,196.2642364501953,168.30822944641113,22.24682399002366,0.41253697872161865,0.004629465751349926,0.4079075129702687
p023_loss_large,p023,architecture_structured,Church Interior,loss_large,13118.390625,2463.8994140625,79.0265884399414,8.010083095079102,0.4801730513572693,0.2987881302833557,0.18138492107391357
p023_loss_small,p023,architecture_structured,Church Interior,loss_small,18974.134399414062,733.7562255859375,111.17950630187988,14.290883442974437,0.24733510613441467,0.07163234055042267,0.175702765583992
p023_mixed_damage,p023,architecture_structured,Church Interior,mixed_damage,17355.62255859375,1254.27197265625,103.38115310668944,11.713521939918374,0.22794783115386963,0.04144398123025894,0.1865038499236107
p023_scratch_thin,p023,architecture_structured,Church Interior,scratch_thin,20016.736671447758,111.3160629272461,124.01565837860107,22.57243923967981,0.23356984555721283,0.0009437572443857789,0.23262608831282705
p024_loss_large,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,loss_large,27863.74584960937,1475.570556640625,137.48246383666992,12.984900099653276,0.6011741161346436,0.3703939914703369,0.23078012466430664
p024_loss_small,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,loss_small,35357.21923828125,355.99560546875,172.8980302810669,20.013843094872804,0.21196773648262024,0.038878604769706726,0.1730891317129135
p024_mixed_damage,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,mixed_damage,35659.18878173828,966.7369995117188,167.48603630065918,15.784802705390272,0.3825615644454956,0.05727602541446686,0.32528553903102875
p024_scratch_thin,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,scratch_thin,35513.329917907715,73.33023834228516,177.99576425552368,26.860041343760663,0.2976979911327362,0.0005670731770806015,0.2971309179556556
p025_loss_large,p025,architecture_structured,The Quay de Paris in Rouen,loss_large,12662.985229492188,1383.6368408203125,83.32238388061523,10.06549780666936,0.4949984848499298,0.345065176486969,0.14993330836296082
p025_loss_small,p025,architecture_structured,The Quay de Paris in Rouen,loss_small,13928.414764404297,487.2385559082031,96.34593486785889,14.710926821337775,0.18816585838794708,0.02966671995818615,0.15849913842976093
p025_mixed_damage,p025,architecture_structured,The Quay de Paris in Rouen,mixed_damage,17671.193939208984,472.0580139160156,106.39927768707275,15.847197567531085,0.31241682171821594,0.033825017511844635,0.2785918042063713
p025_scratch_thin,p025,architecture_structured,The Quay de Paris in Rouen,scratch_thin,15680.38314819336,473.0514221191406,104.40239810943604,15.333565244789092,0.21140477061271667,0.010356779210269451,0.20104799140244722
