case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,opencv_telea_lpips_improvement,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,lama_lpips_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,opencv_telea_metric_wins,lama_metric_wins,stable_diffusion_inpainting_metric_wins,metric_ties,overall_metric_vote,mixed_metric_outcome,all_metrics_same_winner,opencv_telea_all_metrics_win,lama_all_metrics_win,stable_diffusion_inpainting_all_metrics_win,num_unique_metric_winners,max_model_metric_wins,disagreement_strength
p029_scratch_thin,p029,p029_scratch_thin,scratch_thin,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",20453.45401000977,20.886818784718603,,0.2460128185339272,0.0916076302528381,0.0788788795471191,20421.501922607426,20.131138672603484,,0.2455362814944237,0.0915165543556213,0.0791146159172058,19539.60791015625,12.80104363935972,,0.1489317193627357,0.0702811479568481,-0.004509687423706,opencv_telea,opencv_telea,no_valid_values,opencv_telea,opencv_telea,lama,4,1,0,1,opencv_telea,True,False,False,False,False,3,4,4
p030_loss_small,p030,p030_loss_small,loss_small,architecture_structured,Interior with Five Women,30988.70556640625,16.727182045189966,,0.1234406307339668,0.1153820157051086,0.0156556367874145,30897.11834716797,16.172818790707268,,0.1353442203253507,0.1128087639808654,0.0196432471275329,30482.889404296875,14.291999492299093,,0.0831656455993652,0.0996517539024353,-0.0052603483200073,opencv_telea,opencv_telea,no_valid_values,lama,opencv_telea,lama,3,2,0,1,opencv_telea,True,False,False,False,False,3,3,4
p031_scratch_thin,p031,p031_scratch_thin,scratch_thin,abstraction_surrealism,Improvisation No. 30 (Cannons),19978.205123901367,22.025353688747288,,0.2012155487318523,0.0547370910644531,0.1075204610824585,19969.18717956543,21.72540019263898,,0.2013916558935307,0.054590880870819,0.1056984066963195,18595.332397460938,11.24604673227149,,0.1264384090900421,0.0165656208992004,0.0226385593414306,opencv_telea,opencv_telea,no_valid_values,lama,opencv_telea,opencv_telea,4,1,0,1,opencv_telea,True,False,False,False,False,3,4,4
p032_loss_large,p032,p032_loss_large,loss_large,abstraction_surrealism,Composition (No. 1) Gray-Red,2986.65625,2.262717650621818,,0.0719228088855743,-0.0053284168243408,-0.0139164328575134,7296.756511688232,21.02420291043056,,0.2466938002035021,0.061410367488861,0.1961848735809326,7215.788330078125,17.233556078516614,,0.2684201505035162,0.0554040074348449,0.1762329936027526,lama,lama,no_valid_values,stable_diffusion_inpainting,lama,lama,0,4,1,1,lama,True,False,False,False,False,3,4,4
p033_loss_large,p033,p033_loss_large,loss_large,abstraction_surrealism,Movement,20807.654296875,6.873690731791466,,0.084218144416809,-0.0079885721206665,-0.1372873783111572,21587.26220703125,7.553678747979614,,0.1449424028396606,0.096118152141571,0.0653787851333618,18676.44189453125,5.424215926798793,,0.1674416065216064,0.034504234790802,-0.1113383769989013,lama,lama,no_valid_values,stable_diffusion_inpainting,lama,lama,0,4,1,1,lama,True,False,False,False,False,3,4,4
p033_scratch_thin,p033,p033_scratch_thin,scratch_thin,abstraction_surrealism,Movement,27751.331665039062,21.506465274175326,,0.1223957134061493,0.0384728908538818,0.0638846158981323,27748.49681091309,21.44467655625216,,0.122592720988905,0.0384192466735839,0.0638343691825866,25384.235107421875,10.373346336638615,,0.0682967752218246,0.0131675004959106,0.0051045417785644,opencv_telea,opencv_telea,no_valid_values,lama,opencv_telea,opencv_telea,4,1,0,1,opencv_telea,True,False,False,False,False,3,4,4
p035_scratch_thin,p035,p035_scratch_thin,scratch_thin,abstraction_surrealism,The Bewitched Mill,19492.67042541504,19.477920001397045,,0.0718429964035749,0.0155093073844909,0.0332922339439392,19489.03811645508,19.407541735673615,,0.0722657679580152,0.0154281854629516,0.0328086018562316,17707.970825195312,9.922423366247523,,0.0264718681573867,-0.0075127482414245,-0.0291719436645507,opencv_telea,opencv_telea,no_valid_values,lama,opencv_telea,opencv_telea,4,1,0,1,opencv_telea,True,False,False,False,False,3,4,4
p036_loss_small,p036,p036_loss_small,loss_small,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",2443.492919921875,5.892061913535837,,0.0414243247359991,0.0748354792594909,0.0067190527915954,3283.1386494636536,26.249636420268335,,0.0598928258405067,0.0691342949867248,0.0234201550483703,3229.3347702026367,17.276791440626496,,0.0583429662510752,0.061913788318634,-0.0089855194091796,lama,lama,no_valid_values,lama,opencv_telea,lama,1,4,0,1,lama,True,False,False,False,False,3,4,4
p036_scratch_thin,p036,p036_scratch_thin,scratch_thin,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",1971.559955596924,17.190200128517667,,0.1047077201073989,0.0737302303314209,0.0181261301040649,1986.8554859161377,19.39765839579565,,0.1046241195872426,0.0727741718292236,0.0065228939056396,-7839.791137695312,-6.902403901106522,,-0.1396718621253967,0.0181103944778442,-0.0856890678405761,lama,lama,no_valid_values,opencv_telea,opencv_telea,opencv_telea,3,2,0,1,opencv_telea,True,False,False,False,False,3,3,4
p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,32042.75341796875,13.63063682744562,,0.2409384548664093,0.0630731582641601,-0.0893460512161254,31426.18505859375,12.093437474189368,,0.2988933175802231,0.1647880673408508,0.0804858207702636,32135.70556640625,13.917993769741576,,0.3427233397960663,0.1687482595443725,0.0161963701248168,stable_diffusion_inpainting,stable_diffusion_inpainting,no_valid_values,stable_diffusion_inpainting,stable_diffusion_inpainting,lama,0,1,4,1,stable_diffusion_inpainting,True,False,False,False,False,3,4,4
p039_scratch_thin,p039,p039_scratch_thin,scratch_thin,abstraction_surrealism,Painting with Troika,24640.896286010742,21.813609795884872,,0.1884001474827528,0.0592058897018432,0.1190716028213501,24652.15103149414,22.123665765593355,,0.1888657601666636,0.0590927600860595,0.1175298690795898,23084.13256835937,11.589652493548764,,0.1305820234119892,0.0287420749664306,-0.0108201503753662,lama,lama,no_valid_values,lama,opencv_telea,opencv_telea,2,3,0,1,lama,True,False,False,False,False,3,3,4
p041_loss_large,p041,p041_loss_large,loss_large,high_texture_brushwork,Wheat Field with Cypresses,18409.359619140625,12.609664308656612,,0.1055958569049835,0.0001491904258728,-0.0783341526985168,18331.59631347656,12.304422283924067,,0.2862197160720825,0.158038318157196,0.23280930519104,17959.410888671875,11.082781965835052,,0.2488380968570709,0.1496609449386596,0.2249387502670288,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
