dataset_name,evaluation_region,mask_type,category,inference_mode,source_mask_semantics,lama_applicability,metric,row_count,valid_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,zero_improvement_count,negative_improvement_count,positive_improvement_share
canonical,mask_bbox_crop,mixed_damage,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,2856.0920532226564,2868.265380859375,996.1337854503852,1117.2906494140625,4492.18115234375,,,,
canonical,full_image,scratch_thin,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,530.265591430664,513.7242736816406,171.01716011159033,242.693359375,817.1967163085938,,,,
canonical,content_region,scratch_thin,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,678.7315216064453,651.3843688964844,199.86911445112221,377.3046875,956.6871948242188,,,,
canonical,masked_region,scratch_thin,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,32221.18828125,33148.3291015625,7485.158193860671,17744.685546875,46439.63671875,,,,
canonical,boundary_region,scratch_thin,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,11884.098095703124,12286.5087890625,2831.1715275297843,6425.64794921875,16864.951171875,,,,
canonical,outside_mask_region,scratch_thin,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,scratch_thin,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,705.4794891357421,710.1292724609375,158.299092161016,477.5015563964844,931.0902099609375,,,,
canonical,full_image,zero_control,high_texture_brushwork,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,content_region,zero_control,high_texture_brushwork,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
damage_size,full_image,,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,7,7,3842.5362548828125,3248.267333984375,2735.3880015960513,786.59130859375,8458.517578125,,,,
damage_size,content_region,,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,7,7,4451.082615443638,3762.69921875,3168.5935942325286,911.1647338867188,9798.099609375,,,,
damage_size,masked_region,,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,7,7,47011.08147321428,46975.75390625,1701.4211201736516,44921.1484375,49114.56640625,,,,
