case_id,painting_id,category,mask_type,overall_metric_vote,texture_winner_model
p037_scratch_thin,p037,abstraction_surrealism,scratch_thin,opencv_telea,lama
p010_scratch_thin,p010,portrait_figure,scratch_thin,tie_lama_opencv_telea,lama
p031_scratch_thin,p031,abstraction_surrealism,scratch_thin,opencv_telea,lama
p030_scratch_thin,p030,architecture_structured,scratch_thin,opencv_telea,lama
p035_scratch_thin,p035,abstraction_surrealism,scratch_thin,opencv_telea,lama
p049_scratch_thin,p049,high_texture_brushwork,scratch_thin,tie_lama_opencv_telea,lama
p023_scratch_thin,p023,architecture_structured,scratch_thin,opencv_telea,lama
p004_scratch_thin,p004,portrait_figure,scratch_thin,tie_lama_opencv_telea,lama
p036_scratch_thin,p036,abstraction_surrealism,scratch_thin,opencv_telea,lama
p022_loss_large,p022,architecture_structured,loss_large,lama,lama
p028_loss_large,p028,architecture_structured,loss_large,lama,lama
p003_loss_large,p003,portrait_figure,loss_large,lama,lama
p037_loss_large,p037,abstraction_surrealism,loss_large,stable_diffusion_inpainting,stable_diffusion_inpainting
p050_loss_large,p050,high_texture_brushwork,loss_large,lama,lama
p011_loss_large,p011,landscape_natural,loss_large,lama,lama
p024_loss_large,p024,architecture_structured,loss_large,lama,lama
p029_mixed_damage,p029,architecture_structured,mixed_damage,lama,lama
p017_mixed_damage,p017,landscape_natural,mixed_damage,lama,lama
p017_loss_small,p017,landscape_natural,loss_small,lama,lama
p032_loss_large,p032,abstraction_surrealism,loss_large,lama,lama
p023_loss_large,p023,architecture_structured,loss_large,lama,lama
p012_scratch_thin,p012,landscape_natural,scratch_thin,lama,lama
p013_loss_large,p013,landscape_natural,loss_large,lama,lama
p016_loss_small,p016,landscape_natural,loss_small,lama,lama
p042_loss_large,p042,high_texture_brushwork,loss_large,lama,lama
p032_loss_small,p032,abstraction_surrealism,loss_small,lama,lama
p012_loss_large,p012,landscape_natural,loss_large,lama,lama
p005_mixed_damage,p005,portrait_figure,mixed_damage,lama,lama
p009_mixed_damage,p009,portrait_figure,mixed_damage,lama,lama
p013_mixed_damage,p013,landscape_natural,mixed_damage,lama,lama
p018_loss_large,p018,landscape_natural,loss_large,lama,lama
p036_mixed_damage,p036,abstraction_surrealism,mixed_damage,lama,lama
p036_loss_small,p036,abstraction_surrealism,loss_small,lama,lama
p027_mixed_damage,p027,architecture_structured,mixed_damage,lama,lama
p005_loss_small,p005,portrait_figure,loss_small,lama,lama
p042_mixed_damage,p042,high_texture_brushwork,mixed_damage,lama,lama
p033_loss_small,p033,abstraction_surrealism,loss_small,lama,lama
p035_loss_small,p035,abstraction_surrealism,loss_small,lama,lama
p020_mixed_damage,p020,landscape_natural,mixed_damage,lama,lama
p029_loss_small,p029,architecture_structured,loss_small,lama,lama
p016_loss_large,p016,landscape_natural,loss_large,lama,lama
p028_mixed_damage,p028,architecture_structured,mixed_damage,lama,lama
p031_loss_large,p031,abstraction_surrealism,loss_large,lama,lama
p010_mixed_damage,p010,portrait_figure,mixed_damage,lama,lama
p021_loss_large,p021,architecture_structured,loss_large,lama,lama
p007_loss_small,p007,portrait_figure,loss_small,lama,lama
p042_loss_small,p042,high_texture_brushwork,loss_small,lama,lama
p025_mixed_damage,p025,architecture_structured,mixed_damage,lama,lama
p021_mixed_damage,p021,architecture_structured,mixed_damage,lama,lama
p007_mixed_damage,p007,portrait_figure,mixed_damage,lama,lama
p031_loss_small,p031,abstraction_surrealism,loss_small,lama,lama
p035_mixed_damage,p035,abstraction_surrealism,mixed_damage,lama,lama
