dataset_name,mask_type,category,source_mask_semantics,lama_applicability,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
damage_size,,landscape_natural,binary_missing_content,primary,boundary_region,mae_improvement,7,7,71.50728906903949,71.82702398300171,5.385737385416846,60.55744171142578,77.84126234054565
damage_size,,landscape_natural,binary_missing_content,primary,outside_mask_region,mae_improvement,7,7,0.0,0.0,0.0,0.0,0.0
damage_size,,landscape_natural,binary_missing_content,primary,mask_bbox_crop,mae_improvement,7,7,62.789890153067454,63.830657958984375,8.788330862476238,45.66451835632324,72.0231351852417
damage_size,,architecture_structured,binary_missing_content,primary,full_image,mae_improvement,7,7,7.321867368583169,6.331352353096008,5.033588268760138,1.5646802671253681,15.937082767486572
damage_size,,architecture_structured,binary_missing_content,primary,content_region,mae_improvement,7,7,10.629857674241066,9.191831111907959,7.307744317845662,2.271596297621727,23.13739562034607
damage_size,,architecture_structured,binary_missing_content,primary,masked_region,mae_improvement,7,7,114.20280735833305,114.21162605285645,0.9818397200660314,113.06734371185303,115.76448249816895
damage_size,,architecture_structured,binary_missing_content,primary,boundary_region,mae_improvement,7,7,59.74302865777697,59.59419083595276,2.125431441131265,56.93632519245148,63.06347179412842
damage_size,,architecture_structured,binary_missing_content,primary,outside_mask_region,mae_improvement,7,7,0.0,0.0,0.0,0.0,0.0
damage_size,,architecture_structured,binary_missing_content,primary,mask_bbox_crop,mae_improvement,7,7,64.29300986017499,65.65372276306152,4.167650305969001,56.772021532058716,69.41678667068481
damage_size,,abstraction_surrealism,binary_missing_content,primary,full_image,mae_improvement,7,7,6.21143235798393,5.370918929576874,4.161223256136659,1.3855788335204124,13.305061101913452
damage_size,,abstraction_surrealism,binary_missing_content,primary,content_region,mae_improvement,7,7,8.458122677036695,7.3135915994644165,5.666349680382603,1.8867457956075668,18.11753749847412
damage_size,,abstraction_surrealism,binary_missing_content,primary,masked_region,mae_improvement,7,7,92.15728548594883,91.57624530792236,2.3041185100168677,89.72101974487305,95.87254428863525
damage_size,,abstraction_surrealism,binary_missing_content,primary,boundary_region,mae_improvement,7,7,51.15240543229239,48.81019473075867,6.771261178614849,46.6223931312561,66.10038900375366
damage_size,,abstraction_surrealism,binary_missing_content,primary,outside_mask_region,mae_improvement,7,7,0.0,0.0,0.0,0.0,0.0
damage_size,,abstraction_surrealism,binary_missing_content,primary,mask_bbox_crop,mae_improvement,7,7,45.82968510900225,46.09593391418457,1.7674462079797666,42.08711862564087,47.749003410339355
damage_size,,high_texture_brushwork,binary_missing_content,primary,full_image,mae_improvement,7,7,12.171024497066226,10.654545068740845,8.037550833265552,2.730724185705185,25.316179513931274
damage_size,,high_texture_brushwork,binary_missing_content,primary,content_region,mae_improvement,7,7,15.298442104033061,13.39228904247284,10.102850196005841,3.4323996007442474,31.82132887840271
damage_size,,high_texture_brushwork,binary_missing_content,primary,masked_region,mae_improvement,7,7,166.77065767560686,167.53236389160156,3.9348541061890145,159.0737247467041,171.017915725708
damage_size,,high_texture_brushwork,binary_missing_content,primary,boundary_region,mae_improvement,7,7,85.86506230490548,88.15541481971741,4.557600363307352,79.1293523311615,89.50271582603455
damage_size,,high_texture_brushwork,binary_missing_content,primary,outside_mask_region,mae_improvement,7,7,0.0,0.0,0.0,0.0,0.0
damage_size,,high_texture_brushwork,binary_missing_content,primary,mask_bbox_crop,mae_improvement,7,7,96.15613882882255,97.50615215301514,4.28275183014032,88.45333099365234,100.73535346984863
mask_robustness,,portrait_figure,binary_missing_content,primary,full_image,mae_improvement,15,15,11.370012454440197,8.48244871199131,8.03644633723087,3.154079359024763,22.895330667495728
mask_robustness,,portrait_figure,binary_missing_content,primary,content_region,mae_improvement,15,15,13.17069328725338,9.825823232531548,9.309186608230142,3.653594084084034,26.521284580230713
mask_robustness,,portrait_figure,binary_missing_content,primary,masked_region,mae_improvement,15,15,214.30749842325847,217.92125844955444,9.889183571801855,189.8087558746338,230.52768993377686
mask_robustness,,portrait_figure,binary_missing_content,primary,boundary_region,mae_improvement,15,15,100.67996549606323,104.2091429233551,11.846391379915884,75.76029062271118,116.67595982551575
mask_robustness,,portrait_figure,binary_missing_content,primary,outside_mask_region,mae_improvement,15,15,0.0,0.0,0.0,0.0,0.0
mask_robustness,,portrait_figure,binary_missing_content,primary,mask_bbox_crop,mae_improvement,15,15,43.60164615263542,13.037842065095901,49.36590695637726,4.0114796087145805,125.24347591400146
mask_robustness,,landscape_natural,binary_missing_content,primary,full_image,mae_improvement,15,15,6.249773888786634,4.8793977200984955,4.152936034414358,2.169318877160549,13.332010984420776
mask_robustness,,landscape_natural,binary_missing_content,primary,content_region,mae_improvement,15,15,9.467112781604131,7.391277194023132,6.290837745952183,3.2860687524080276,20.195239543914795
mask_robustness,,landscape_natural,binary_missing_content,primary,masked_region,mae_improvement,15,15,159.35509738922119,162.0871901512146,18.762566862856634,123.20627880096436,184.71309900283813
mask_robustness,,landscape_natural,binary_missing_content,primary,boundary_region,mae_improvement,15,15,73.1247367699941,74.67618179321289,12.336835610780108,48.45122587680817,88.09699535369873
mask_robustness,,landscape_natural,binary_missing_content,primary,outside_mask_region,mae_improvement,15,15,0.0,0.0,0.0,0.0,0.0
mask_robustness,,landscape_natural,binary_missing_content,primary,mask_bbox_crop,mae_improvement,15,15,26.121573228140672,10.72382315993309,27.662713674406135,3.5823848098516464,76.32807874679565
mask_robustness,,architecture_structured,binary_missing_content,primary,full_image,mae_improvement,15,15,6.403283064067364,4.154597103595734,4.980848067218527,1.782471850514412,14.24111020565033
mask_robustness,,architecture_structured,binary_missing_content,primary,content_region,mae_improvement,15,15,9.296258959174157,6.031626760959625,7.231173689516691,2.587785303592682,20.675188183784485
mask_robustness,,architecture_structured,binary_missing_content,primary,masked_region,mae_improvement,15,15,143.67197240193684,141.32436275482178,13.642278516234844,126.01824283599854,165.1186285018921
mask_robustness,,architecture_structured,binary_missing_content,primary,boundary_region,mae_improvement,15,15,68.38043115933736,69.00889921188354,13.479767803483751,46.442291021347046,90.55393981933594
mask_robustness,,architecture_structured,binary_missing_content,primary,outside_mask_region,mae_improvement,15,15,0.0,0.0,0.0,0.0,0.0
mask_robustness,,architecture_structured,binary_missing_content,primary,mask_bbox_crop,mae_improvement,15,15,28.547327450911204,12.009162366390228,32.167807031546076,2.948558732867241,88.77350425720215
