dataset_name,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
synthetic_degradation,content_region,mae_improvement,50,50,-1.0376081953934044,-0.12399690598249435,1.967239623740035,-8.0582275390625,0.0
synthetic_degradation,masked_region,mae_improvement,50,50,-2.1960403862723616,-0.37899577617645264,3.1045434076787575,-10.368043422698975,0.0
synthetic_degradation,boundary_region,mae_improvement,50,50,-0.16969052818138153,0.0,0.27975166846691596,-0.9074991345405579,0.0
synthetic_degradation,outside_mask_region,mae_improvement,50,50,0.0,0.0,0.0,0.0,0.0
synthetic_degradation,mask_bbox_crop,mae_improvement,50,50,-1.5410567705519498,-0.2155923843383789,2.3619273556106024,-7.868324279785156,0.0
canonical,full_image,psnr_improvement,250,250,14.922263156496244,17.047446920486117,8.651034490562024,0.0,35.43934887211043
canonical,content_region,psnr_improvement,250,250,14.922263139745004,17.047447031685124,8.651034509487978,0.0,35.43934893476052
canonical,masked_region,psnr_improvement,200,200,18.652829039737224,18.71166146320334,4.869212923142129,7.163611858873562,35.43934820361272
canonical,boundary_region,psnr_improvement,200,200,22.55354969471035,22.583598274347754,4.302386926914372,11.792634305228782,38.93838949557321
canonical,outside_mask_region,psnr_improvement,200,200,0.0,0.0,0.0,0.0,0.0
canonical,mask_bbox_crop,psnr_improvement,200,200,18.652829138371647,18.711661503666562,4.8692129307639815,7.163612181409638,35.43934786365048
damage_size,full_image,psnr_improvement,35,35,17.56513828582466,17.16903063815679,3.671541496016813,8.726547879175712,26.22840601290978
damage_size,content_region,psnr_improvement,35,35,17.565138130959866,17.169030814625682,3.6715415150063917,8.726549570584947,26.228405114015064
damage_size,masked_region,psnr_improvement,35,35,17.565138092231244,17.169030585330933,3.6715413939010264,8.726549398464151,26.228405155142042
damage_size,boundary_region,psnr_improvement,35,35,25.43369515527655,24.572563929804655,4.911383637732881,17.697591552404305,36.01551891479161
damage_size,outside_mask_region,psnr_improvement,35,35,0.0,0.0,0.0,0.0,0.0
damage_size,mask_bbox_crop,psnr_improvement,35,35,17.565138178173445,17.169030148679667,3.6715414632794343,8.726548917059006,26.228404921148858
