artifact_type,source_stage,artifact_id,artifact_path,filename,extension,exists,file_size_bytes,row_count,json_key_count,expected_to_exist
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0670__mask_bbox_crop__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__moderate_degraded.png,p001__dirt_dust__moderate_degraded.png,.png,True,723870,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0671__mask_bbox_crop__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0672__mask_bbox_crop__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0673__mask_bbox_crop__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0674__mask_bbox_crop__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0675__mask_bbox_crop__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0677__mask_bbox_crop__lpips,data/processed/degraded/synthetic_degradation/p001__discolouration__moderate_degraded.png,p001__discolouration__moderate_degraded.png,.png,True,723791,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0864__mask_bbox_crop__lpips,data/processed/degraded/synthetic_degradation/p039__fading__moderate_degraded.png,p039__fading__moderate_degraded.png,.png,True,712513,,,True
batch4_selected_reference__damaged_path,batch4,zero_control_largest_regression__sd24_0005__content_region__lpips,data/processed/masked/p001_zero_control_damaged.png,p001_zero_control_damaged.png,.png,True,723881,,,True
batch4_selected_reference__damaged_path,batch4,zero_control_largest_regression__sd24_0010__content_region__lpips,data/processed/masked/p002_zero_control_damaged.png,p002_zero_control_damaged.png,.png,True,339472,,,True
